INFO 2025-10-30 17:28:44,903 autoreload 16616 9244 Watching for file changes with StatReloader
INFO 2025-11-02 15:22:40,424 basehttp 16616 15224 "GET /api/auth/profile/ HTTP/1.1" 200 298
INFO 2025-11-02 15:22:40,435 basehttp 16616 15224 "GET /api/auth/profile/ HTTP/1.1" 200 298
INFO 2025-11-02 15:22:40,641 basehttp 16616 15224 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-02 15:22:40,916 basehttp 16616 5308 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-02 15:22:40,953 basehttp 16616 15224 "GET /api/users/ HTTP/1.1" 200 6165
INFO 2025-11-02 15:22:41,129 basehttp 16616 5308 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-02 15:22:41,197 basehttp 16616 15224 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-02 15:22:41,408 basehttp 16616 9024 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-02 15:22:41,449 basehttp 16616 5308 "GET /api/users/ HTTP/1.1" 200 6165
INFO 2025-11-02 15:22:41,664 basehttp 16616 9024 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-02 15:22:41,928 basehttp 16616 26612 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-02 15:22:41,955 basehttp 16616 27676 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-02 15:22:42,009 basehttp 16616 32252 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-02 15:22:42,021 basehttp 16616 26612 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-02 15:22:42,085 basehttp 16616 27676 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-02 15:22:42,117 basehttp 16616 26612 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-14 23:50:00,252 autoreload 11972 1736 Watching for file changes with StatReloader
INFO 2025-11-15 00:04:00,937 autoreload 16104 17288 Watching for file changes with StatReloader
INFO 2025-11-15 00:09:11,143 basehttp 16104 16432 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
INFO 2025-11-15 00:09:11,145 basehttp 16104 8556 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
